id,document_nr,title,contact_id,contact_sub_id,user_id,project_id,logopaper_id,language_id,bank_account_id,currency_id,payment_type_id,header,footer,total_gross,total_net,total_taxes,total_received_payments,total_credit_vouchers,total_remaining_payments,total,total_rounding_difference,mwst_type,mwst_is_net,show_position_taxes,is_valid_from,is_valid_to,contact_address,kb_item_status_id,reference,api_reference,viewed_by_client_at,updated_at,esr_id,qr_invoice_id,template_slug,taxs,network_link
20,RE-00020,"Gesuche - Albisstr.9, Cham",4,20.0,1,,1,1,1,1,4,Guten Tag Yvan Stalder<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,310.000000,310.000000,23.8700,333.850000,0.000000,0.0000,333.850000,-0.02,0,True,False,2022-05-18,2022-06-16,"Stalder-Rüttimann GmbH
Herr Stalder Yvan
Unterdorf 12
5636 Benzenschwil
Schweiz",9,,,,2022-12-08 15:24:13,15,15,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '23.8700'}]",
21,RE-00021,"Gesuche - Bremgarterstr.7, Waltenschw. AG",4,20.0,1,33.0,1,1,1,1,4,Guten Tag Yvan Stalder<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,590.000000,590.000000,45.4300,635.450000,0.000000,0.0000,635.450000,0.02,0,True,False,2022-05-18,2022-06-16,"Stalder-Rüttimann GmbH
Herr Stalder Yvan
Unterdorf 12
5636 Benzenschwil
Schweiz",9,,,,2022-12-08 15:23:25,16,16,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '45.4300'}]",
22,RE-00022,"Gesuche - Oberdorfstr.12, Lieli LU",4,20.0,1,29.0,1,1,1,1,4,Guten Tag Yvan Stalder<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,310.000000,310.000000,23.8700,333.850000,0.000000,0.0000,333.850000,-0.02,0,True,False,2022-05-18,2022-06-16,"Stalder-Rüttimann GmbH
Herr Stalder Yvan
Unterdorf 12
5636 Benzenschwil
Schweiz",9,,,,2022-12-08 15:24:55,17,17,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '23.8700'}]",
23,RE-00023,"Förderbeitrag G+ Halbartenstr.50, Wettingen",26,,1,,1,1,1,1,4,Sehr geehrte Damen und Herren<br /><br />Anbei erhalten Sie die Rechnung der F&ouml;rderbeitr&auml;ge f&uuml;r einen GEAK&reg;Plus Beratungsbericht.,Bei Fragen d&uuml;rfen Sie uns gerne kontaktieren.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,1500.000000,1500.000000,0.0000,1500.000000,0.000000,0.0000,1500.000000,0.0,0,True,False,2022-05-23,2022-06-21,"Departement Bau, Verkehr, Umwelt
Zentrale Rechnungsstelle
Postfach 2504
5001 Aarau
Schweiz",9,"Halbartenstr.50, 5430 Wettingen",,,2022-12-08 14:44:57,18,18,622f308b87e2d83a3d360505,"[{'percentage': '0.00', 'value': '0.0000'}]",
24,RE-00024,GEAK®Plus - Energetische Gebäudeanalyse,18,,1,16.0,1,1,1,1,4,Sehr geehrter Herr Huber<br /><br />Danke f&uuml;r Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,2670.000000,2253.250000,283.2270,2536.500000,0.000000,0.0000,2536.500000,0.0,0,False,False,2022-05-31,2022-06-29,"Kull-Laube AG
René Huber
Halbartenstrasse 50
5430 Wettingen
Schweiz",9,"Halbartenstrasse 50, Wettingen, Verkauf/Büro/Wohnen",,,2022-10-23 10:29:13,19,19,6228622cf9f3e7797d45edb2,"[{'percentage': '0.00', 'value': '0.0000'}, {'percentage': '7.70', 'value': '283.2270'}]",
27,RE-00027,"Planung H, Sonnenbergstr. 91, 8032 Zürich",2,21.0,1,28.0,1,1,1,1,4,Guten Tag Redzepi Sead<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,612.500000,612.500000,47.1625,659.650000,0.000000,0.0000,659.650000,-0.01,0,True,False,2022-06-01,2022-06-30,"AQUA rep AG
Herr Redzepi Sead
Gjuchstrasse 1
8905 Arni
Schweiz",9,,,,2022-07-13 15:28:52,20,20,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '47.1625'}]",
28,RE-00028,"Gebäudeanalyse + kant. Förderantrag Flachdach, Amsler + Frey",12,,1,11.0,1,1,1,1,4,Guten Tag Go Smart Solution AG<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,6980.000000,6027.300000,464.1019,6491.400000,0.000000,0.0000,6491.400000,0.0,0,False,False,2022-06-01,2022-06-30,"Amsler & Frey AG
Daniel Lienammer
Feldstrasse 26
5107 Schinznach-Dorf
Schweiz",9,"Amsler+Frey, Feldstrasse 26+28, 5107 Schinznach-Dorf",,,2022-12-08 15:10:56,21,21,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '464.1019'}]",
29,RE-00029,"GEAK®Plus, MFH, Kt. ZG - Dammstr.10, Zug",10,,1,,1,1,1,1,4,Sehr geehrte Damen und Herren<br /><br />Danke f&uuml;r Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,1950.000000,1703.350000,246.6574,1950.000000,0.000000,0.0000,1950.000000,0.0,0,False,False,2022-06-02,2022-07-01,"Stadt Zug
c/o Finanzdepartement Immobilien
Gubelstrasse 22
6301 Zug
Schweiz",9,"Dammstrasse 10, 6300 Zug, 12-FH",,,2022-12-08 16:59:33,22,22,6228622cf9f3e7797d45edb2,"[{'percentage': '0.00', 'value': '0.0000'}, {'percentage': '7.70', 'value': '246.6574'}]",
30,RE-00030,"Förderbeitrag G+ Dammstr.10, Zug, MFH",29,,1,,1,1,1,1,4,Sehr geehrte Damen und Herren<br /><br />Anbei erhalten Sie die Rechnung der F&ouml;rderbeitr&auml;ge f&uuml;r einen GEAK&reg;Plus Beratungsbericht.,Bei Fragen d&uuml;rfen Sie uns gerne kontaktieren.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,1500.000000,1500.000000,0.0000,1500.000000,0.000000,0.0000,1500.000000,0.0,0,True,False,2022-03-29,2022-04-30,"Kanton Zug
Finanzverwaltung
Baarerstrasse 53
6300 Zug
Schweiz",9,"Halbartenstr.50, 5430 Wettingen",,,2022-12-08 16:58:18,23,23,622f308b87e2d83a3d360505,"[{'percentage': '0.00', 'value': '0.0000'}]",
35,RE-00035,"Hiltiweg 17, 5443 Niederrohrdorf, NB 4FH",11,,1,39.0,1,1,1,1,4,Guten Tag nosh gmbh<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,520.000000,520.000000,40.0400,560.050000,0.000000,0.0000,560.050000,0.01,0,True,False,2022-06-15,2022-07-14,"Patrick Widmer
Mülibachweg 3
5452 Oberrohrdorf",9,,,,2022-12-08 15:19:58,25,25,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '40.0400'}]",
36,RE-00036,"GEAK®Plus, EFH, Kt. BL",16,,1,13.0,1,1,1,1,4,Guten Tag Denise und Andreas Kaiser<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,1100.000000,949.850000,150.1393,1100.000000,0.000000,0.0000,1100.000000,0.0,0,False,False,2022-06-15,2022-07-14,"Herr & Frau
Denise und Andreas Kaiser
4133 Pratteln
Schweiz",9,"EFH, Mühleweg 4, 4133 Pratteln BL",,,2022-10-23 10:36:44,26,26,6228622cf9f3e7797d45edb2,"[{'percentage': '0.00', 'value': '0.0000'}, {'percentage': '7.70', 'value': '150.1393'}]",
38,RE-00038,"Förderbeitrag G+ Mühleweg 4, Pratteln, EFH",39,,1,,1,1,1,1,4,Sehr geehrte Damen und Herren<br /><br />Anbei erhalten Sie die Rechnung der F&ouml;rderbeitr&auml;ge f&uuml;r einen GEAK&reg;Plus Beratungsbericht.,Bei Fragen d&uuml;rfen Sie uns gerne kontaktieren.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,1000.000000,1000.000000,0.0000,1000.000000,0.000000,0.0000,1000.000000,0.0,0,True,False,2022-06-20,2022-09-20,"Baselbieter Energiepaket
Postfach
4410 Liestal
Schweiz",9,"Halbartenstr.50, 5430 Wettingen",,,2022-12-27 18:02:05,27,27,622f308b87e2d83a3d360505,"[{'percentage': '0.00', 'value': '0.0000'}]",
39,RE-00039,"Private Kontrolle WTA - Massholderenstr.52, Stallikon",7,,1,,1,1,1,1,4,Guten Tag Grolimund AG<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,120.000000,120.000000,9.2400,129.250000,0.000000,0.0000,129.250000,0.01,0,True,False,2022-06-22,2022-07-21,"Grolimund AG
Yvonne Keusch
Luzernerstrasse 3
5630 Muri
Schweiz",9,"Massholderenstr.52, Stallikon",,,2022-10-09 19:19:17,28,28,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '9.2400'}]",
40,RE-00040,Impulsberatung Förderbeiträge - 2022-06,40,,1,,1,1,1,1,4,Guten Tag Eidgenössische Finanzverwaltung EFV<br /><br />Danke f&uuml;r Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,900.000000,835.650000,64.3454,900.000000,0.000000,0.0000,900.000000,0.0,0,False,False,2022-06-27,2022-07-26,"Eidgenössische Finanzverwaltung EFV
Bundesgasse 3
3003 Bern
Schweiz",9,"1x Rankstr.4, Nussb. + 1x Erlenweg 102, Oetwil",,,2022-12-08 14:17:13,29,29,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '64.3454'}]",
41,RE-00041,"Planung Sanitär, Am Rebberg, Goldach SG",2,21.0,1,26.0,1,1,1,1,4,Guten Tag Redzepi Sead<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,542.500000,542.500000,41.7725,584.250000,0.000000,0.0000,584.250000,-0.02,0,True,False,2022-06-29,2022-07-28,"AQUA rep AG
Herr Redzepi Sead
Gjuchstrasse 1
8905 Arni
Schweiz",9,,,,2022-07-22 10:23:28,30,30,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '41.7725'}]",
43,RE-00043,"Gätterli 21, Bachenbülach ZH - OF/GES",2,,1,43.0,1,1,1,1,4,Guten Tag AQUA rep AG<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,332.500000,332.500000,25.6025,358.100000,0.000000,0.0000,358.100000,0.0,0,True,False,2022-06-29,2022-07-28,"AQUA rep AG
Gjuchstrasse 1
8905 Arni
Schweiz",9,,,,2022-07-22 10:23:28,31,31,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '25.6025'}]",
44,RE-00044,Impulsberatung Förderbeiträge - 2022-06,40,,1,,1,1,1,1,4,Guten Tag Eidgenössische Finanzverwaltung EFV<br /><br />Danke f&uuml;r Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,450.000000,417.850000,32.1727,450.000000,0.000000,0.0000,450.000000,0.0,0,False,False,2022-07-04,2022-09-30,"Eidgenössische Finanzverwaltung EFV
Bundesgasse 3
3003 Bern
Schweiz",9,"1x Gertächerweg 148, Wieslikofen, EFH",,,2022-10-09 19:15:59,32,32,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '32.1727'}]",
48,RE-00048,"Förderbeitrag G+ Heuweg 18, Boniswil AG, EFH",26,,1,,1,1,1,1,4,Sehr geehrte Damen und Herren<br /><br />Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,1000.000000,1000.000000,0.0000,1000.000000,0.000000,0.0000,1000.000000,0.0,0,False,False,2022-07-07,2022-08-08,"Departement Bau, Verkehr, Umwelt
Zentrale Rechnungsstelle
Postfach 2504
5001 Aarau
Schweiz",9,"Heuweg 18, Boniswil AG, EFH",,,2022-08-15 09:12:49,33,33,622f308b87e2d83a3d360505,"[{'percentage': '0.00', 'value': '0.0000'}]",
49,RE-00049,"Planung Sanitär - Tellstr.5/5a, Weinfelden",5,,1,35.0,1,1,1,1,4,Guten Tag AQUASANI GmbH<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,3249.762500,3249.750000,250.2308,3500.000000,0.000000,0.0000,3500.000000,0.02,0,True,False,2022-07-13,2022-08-11,"AQUASANI GmbH
Jozef Kajtazi
Freiestrasse 48A
8580 Amriswil
Schweiz",9,"Tellstr.5/5a, 8570 Weinfelden, Neubau 13-FH",,,2022-09-23 10:25:48,34,34,622f308b87e2d83a3d360505,"[{'percentage': '7.70', 'value': '250.2308'}]",
50,RE-00050,"Planung H/S - Erni, Guggibadstr.6, Schongau",4,,1,38.0,1,1,1,1,4,Guten Tag Stalder-Rüttimann GmbH<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,2610.000000,2610.000000,200.9700,2810.950000,0.000000,0.0000,2810.950000,-0.02,0,True,False,2022-07-13,2022-08-11,"Stalder-Rüttimann GmbH
Unterdorf 12
5636 Benzenschwil
Schweiz",9,"Erni, Guggibadstr.6, Schongau",,,2022-09-23 10:25:48,35,35,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '200.9700'}]",
51,RE-00051,"Planung Sanitär, Am Rebberg, Goldach SG",2,21.0,1,26.0,1,1,1,1,4,Guten Tag Redzepi Sead<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,350.000000,350.000000,26.9500,376.950000,0.000000,0.0000,376.950000,0.0,0,True,False,2022-07-13,2022-08-11,"AQUA rep AG
Herr Redzepi Sead
Gjuchstrasse 1
8905 Arni
Schweiz",9,,,,2022-09-23 10:25:49,36,36,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '26.9500'}]",
52,RE-00052,"Planung Sanitär, Lindenstr. 20/22, Frauenfeld",2,21.0,1,25.0,1,1,1,1,4,Guten Tag Redzepi Sead<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,210.000000,210.000000,16.1700,226.150000,0.000000,0.0000,226.150000,-0.02,0,True,False,2022-07-13,2022-08-11,"AQUA rep AG
Herr Redzepi Sead
Gjuchstrasse 1
8905 Arni
Schweiz",9,,,,2022-09-23 10:25:49,37,37,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '16.1700'}]",
53,RE-00053,"EB-Nachweis - Fischweg 3, Meisterschwanden",4,20.0,1,36.0,1,1,1,1,4,Guten Tag Yvan Stalder<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,800.000000,800.000000,61.6000,861.600000,0.000000,0.0000,861.600000,0.0,0,True,False,2022-07-13,2022-08-11,"Stalder-Rüttimann GmbH
Herr Stalder Yvan
Unterdorf 12
5636 Benzenschwil
Schweiz",9,"Fischweg 3, Meisterschwanden, Umbau",,,2022-09-23 10:25:48,38,38,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '61.6000'}]",
54,RE-00054,"GEAK+ Hofackerstrasse 12, 8545 Rickenbach, ZH, EFH",3,,1,1.0,1,1,1,1,4,Guten Tag&nbsp;Herr&nbsp;Peter<br /><br />Danke f&uuml;r Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,1100.000000,949.850000,150.1393,1100.000000,0.000000,0.0000,1100.000000,0.0,0,False,False,2022-07-13,2022-08-11,"Herr
Bernhard Peter
Hofackerstrasse 12
8545 Rickenbach
Schweiz",9,,,,2022-10-23 10:58:04,39,39,6228622cf9f3e7797d45edb2,"[{'percentage': '0.00', 'value': '0.0000'}, {'percentage': '7.70', 'value': '150.1393'}]",
55,RE-00055,,52,,1,,1,1,1,1,4,Sehr geehrte Damen und Herren<br /><br />Danke f&uuml;r Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,1000.000000,1000.000000,0.0000,1000.000000,0.000000,0.0000,1000.000000,0.0,0,True,False,2022-07-13,2022-08-11,"Amt für Abfall, Wasser, Energie, Luft
Sektion Energiewirtschaft
Stampfenbachstrasse 12
8090 Zürich
Schweiz",9,,,,2022-10-09 19:21:59,40,40,6228622cf9f3e7797d45edb2,"[{'percentage': '0.00', 'value': '0.0000'}]",
56,RE-00056,"Gesuche - Brunnäckerstr.15, Bettwil AG, Luginbühl",4,,1,42.0,1,1,1,1,4,Guten Tag Herr Stalder<br /><br />Danke f&uuml;r Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,440.000000,440.000000,33.8800,473.900000,0.000000,0.0000,473.900000,0.02,0,True,False,2022-07-22,2022-08-20,"Stalder-Rüttimann GmbH
Yvan Stalder
Unterdorf 12
5636 Benzenschwil
Schweiz",9,"Brunnäckerstr.15, Bettwil AG, Luginbühl",,,2022-09-23 10:25:48,41,41,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '33.8800'}]",
57,RE-00057,"Gesuche - Martinsstr.15, Boswil AG, Raffi",4,,1,41.0,1,1,1,1,4,Guten Tag Herr Stalder<br /><br />Danke f&uuml;r Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,310.000000,310.000000,23.8700,333.850000,0.000000,0.0000,333.850000,-0.02,0,True,False,2022-07-22,2022-08-20,"Stalder-Rüttimann GmbH
Yvan Stalder
Unterdorf 12
5636 Benzenschwil
Schweiz",9,"Martinsstr.15, Boswil AG, Raffi",,,2022-09-23 10:25:48,42,42,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '23.8700'}]",
